,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Усть-Каменогорск,https://yandex.ru/maps/org/stalmetural/152338535410/reviews/,"улица Маяковского, 9",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,,0,0,1,5,,0,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,1,1,2,,1,1,3,,,,3,"4,4",2,2,5,"4,6",,,5,"4,6",,5,"4,6",,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",,,5,"4,6",,,5,"4,6",,1,6,"4,6",Иван,,6,"4,6",-,,6,"4,6",-,,6,"4,6",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",,,6,"4,4",
Павлодар,https://yandex.ru/maps/org/stalmetgrupp/80950126806/reviews/,"улица Малайсары Батыра, 13",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,2,2,,,2,,-,,2,,Инна,1,3,"4,4",Инна,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,1,4,"4,4",Иван,,4,"4,4",-,1,5,"4,4",Инна,,5,"4,4",-,,5,"4,7",,1,6,"4,7",Инна,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",
Астана,https://yandex.ru/maps/org/stalmetgrupp/132927746462/reviews/,"улица Жанажол, 19",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,,0,,1,1,,Инна,,1,,-,,1,,-,,1,,Инна,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,1,3,"4,4",Иван,,3,"4,4",-,,3,"4,5",,1,4,"4,5",Инна,,4,"4,5",,,4,"4,5",Инна,1,5,"4,6",Инна,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",Иван,,5,"4,6",
Атырау,https://yandex.ru/maps/org/stalmetural/17843085929/reviews/,"проспект Каныша Сатпаева, 17Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,1,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,1,1,2,,1,1,3,,,,3,"4,4",2,0,3,"4,4",,2,5,"4,7",,5,"4,7",,5,"4,7",-,,5,"4,7",-,,5,"4,7",-,,5,"4,7",-,,5,"4,7",-,,5,"4,7",-,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",Инна,,5,"4,7",-,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",,,5,"4,7",
Семей,https://yandex.ru/maps/org/stalmetural/243183974904/reviews/,"улица Абая, 115/1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,,2,,-,,2,,Инна,,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,1,3,"4,4",Иван,,3,"4,4",-,,3,"4,4",,,3,"4,4",Инна,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",
Кызылорда,https://yandex.ru/maps/org/stalmetural/6815881426/reviews/,"улица Желтоксан, 42",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,,2,,-,1,3,,Инна,,3,,-,,3,,-,,3,,-,,3,,-,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",
Актау,https://yandex.ru/maps/org/stalmetural/129042211206/reviews/,"​27-й микрорайон, 85",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,1,3,"4,4",Инна,,3,"4,4",-,,3,"4,4",-,,3,"4,4",-,,3,"4,4",-,,3,"4,4",-,,3,"4,4",,,3,"4,4",,,3,"4,4",,1,4,"4,4",Иван,,4,"4,4",-,1,5,"4,4",Инна,,5,"4,4",-,,5,"4,6",-,,5,"4,6",Инна,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",
Костанай,https://yandex.ru/maps/org/stalmetural/188617825069/reviews/,"улица Хакимжановой, 9",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,,2,,-,1,3,,Инна,,3,,-,,3,,-,,3,,-,,3,,-,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,0,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,
Уральск,https://yandex.ru/maps/org/stalmetural/143745058451/reviews/,"​улица Мухита, 112",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,2,3,,,,3,"4,4",2,0,3,"4,4",,2,5,"4,6",,5,"4,6",,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",-,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",-,,5,"4,6",Иван,,5,"4,6",-,,5,"4,6",-,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",
Туркестан,https://yandex.ru/maps/org/stalmetgrupp/198430759625/reviews/,"проспект Тауке Хана, 272",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,0,Иван,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Петропавловск,https://yandex.ru/maps/org/stalmetural/225962241906/reviews/,"улица Крепостная, 105​",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,1,3,"4,2",Иван,1,4,"4,4",Инна,,4,"4,4",-,,4,"4,2",-,1,5,"4,2",Иван,,5,"4,2",-,,5,"4,6",-,,5,"4,6",Инна,,5,"4,6",,1,6,"4,6",Инна,,6,"4,6",,,6,"4,6",,,6,"4,6",,,6,"4,6",,,6,"4,6",,,6,"4,6",,,6,"4,6",,,6,"4,6",
Кокшетау,https://yandex.ru/maps/org/stalmetgrupp/197556572725/reviews/,"улица Абая, 96",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,1,2,,Иван,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Темиртау,https://yandex.ru/maps/org/stalmetgrupp/80020614597/reviews/,"проспект Республики, 20",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,1,2,,Иван,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Талдыкорган,https://yandex.ru/maps/org/stalmetgrupp/49120077806/reviews/,"улица Толебаева, 69",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Экибастуз,https://yandex.ru/maps/org/stalmetgrupp/4961174096/reviews/,"улица Мухтара Ауэзова, 53/1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,,0,,,,0,,Инна,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Жезказган,https://yandex.ru/maps/org/stalmetgrupp/204664579178/reviews/,"улица Тарадая, 2",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,1,2,,Иван,,2,,Иван,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Жанаозен,https://yandex.ru/maps/org/stalmetgrupp/199861757519/reviews/,"улица Мира, 9/2",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Беларусь,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,"4,90",3,3,16,"4,90",2,0,16,"4,90",2,18,"4,90",1,19,"4,90",,0,19,"4,90",,0,19,"4,90",,0,19,"4,90",,0,19,"4,90",,0,19,"4,90",,1,20,"4,90",,1,21,"4,90",,0,21,"4,90",,1,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"0,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,0,22,"4,80",,,22,"4,80",,,22,"4,80",
Минск,https://yandex.ru/maps/org/stalmetural/88250245837/reviews/,"Новодворский сельсовет, 40/2",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,,3,3,3,3,"4,2",2,1,,4,"4,2",2,0,,4,"4,3",2,0,0,4,"4,3",2,0,,4,"4,3",1,2,1,5,"4,3",2,1,2,5,нет,2,0,,4,"4,4",1,0,,3,,,,,2,"4,3",1,0,,1,"4,3",1,0,,4,"4,3",2,3,3,7,"4,3",1,1,1,7,"4,4",1,0,,7,"4,5",,,,7,"4,5",1,1,1,8,"4,5",2,2,10,"4,5",2,3,13,"4,5",,,13,"4,9",,,13,"4,9",,,13,"4,9",,13,"4,9",,13,"4,9",Инна,,13,"4,9",-,,13,"4,9",-,,13,"4,9",-,,13,"4,9",Инна,,13,"4,9",Инна,1,14,"4,9",Инна,,14,"4,9",-,,14,"4,9",-,1,15,"4,8",Иван,,15,"4,8",-,,15,"4,8",Иван,,15,"4,8",-,,15,"4,8",-,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",
Гомель,https://yandex.ru/maps/org/stalmetural/113286734819/reviews/,"улица Федюнинского, 17",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Могилев,https://yandex.ru/maps/org/stalmetgrupp/88641711411/reviews/,"улица Чайковского, 11",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Витебск,https://yandex.ru/maps/org/stalmetural/199823320618/reviews/,"улица Ленина, 16",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,,1,,,1,,1,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Гродно,https://yandex.ru/maps/org/stalmetgrupp/206440723365/reviews/,"улица Подольная, 37",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,1,2,,Иван,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Брест,https://yandex.ru/maps/org/stalmetural/216176370867/reviews/,"улица Шоссейная, 2Д",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Азербайджан,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,0,0,#DIV/0!,3,0,0,#DIV/0!,1,1,#DIV/0!,0,1,#DIV/0!,,0,1,#DIV/0!,,1,2,#DIV/0!,,0,2,#DIV/0!,,0,2,#DIV/0!,,0,2,#DIV/0!,,1,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,1,4,#DIV/0!,,0,4,#DIV/0!,,0,4,"4,3",,0,4,"4,3",,0,4,"1,47",,1,5,"4,40",,0,5,"4,40",,0,5,"4,40",,0,5,"4,40",,1,6,"4,50",,2,8,"4,50",,0,8,"4,50",,0,8,"4,50",,0,8,"4,50",,,8,"4,50",,,8,"4,50",
Баку,https://yandex.ru/maps/org/stalmetgrupp/215378262837/reviews/,"Сальянское шоссе, 10",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,Инна,,1,,Инна,1,2,,Инна,,2,,,,2,,Инна,,2,,Инна,1,3,,Инна,,3,,-,,3,,-,,3,,,,3,,,,3,"4,3",Иван,,3,"4,3",-,,3,"4,4",-,1,4,"4,4",Иван,,4,"4,4",,,4,"4,4",,,4,"4,4",Иван,1,5,"4,5",Инна,2,7,"4,5",Иван,,7,"4,5",,,7,"4,5",,,7,"4,5",,,7,"4,5",Иван,,7,"4,5",
Сумгаит,https://yandex.ru/maps/org/stalmetgrupp/23886675620/reviews/,"улица Баку, 38A",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,1,1,,Иван,,1,,-,,1,,-,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Гянджа,https://yandex.ru/maps/org/stalmetgrupp/114808346802/reviews/,"улица Низами Гянджеви, 418D",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,,0,,Инна,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,,0,,,,0,,Инна,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Армения,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,0,0,#DIV/0!,3,0,0,#DIV/0!,1,1,#DIV/0!,2,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,#DIV/0!,,0,3,0,,0,3,0,,0,3,0,,0,3,0,,1,4,"4,3",,2,6,"4,5",,2,8,"4,5",,0,8,"4,5",,0,8,"4,5",,0,8,"4,5",,,8,"4,5",,,8,"4,5",
Ереван,https://yandex.ru/maps/org/stalmetgrupp/30074101164/reviews/,"проспект Саят-Новы, 19/1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,1,1,,Инна,,1,,-,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,,1,,Инна,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,Инна,,1,0,-,,1,0,-,,1,0,,,1,0,,1,2,"4,3",Иван,2,4,"4,5",Инна,2,6,"4,5",Иван,,6,"4,5",,,6,"4,5",,,6,"4,5",,,6,"4,5",Инна,,6,"4,5",
Гюмри,https://yandex.ru/maps/org/stalmetgrupp/93196407888/reviews/,"площадь Независимости, 8",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,,0,,1,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,0,,,1,0,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Ванадзор,https://yandex.ru/maps/org/stalmetgrupp/182799585923/reviews/,"проспект Тиграна Меца, 81",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,0,,,1,0,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
